timestamp,annotator,qid,true_label,label
2025-12-01T12:41:38.573661,bbbbbbn,3913,1,0
2025-12-01T12:41:39.885948,bbbbbbn,3913,1,0
2025-12-01T12:41:40.362645,bbbbbbn,3913,1,0
2025-12-01T12:41:40.708458,bbbbbbn,3913,1,0
2025-12-01T12:41:40.951148,bbbbbbn,3913,1,0
2025-12-01T12:41:41.152391,bbbbbbn,3913,1,0
2025-12-01T12:41:41.324785,bbbbbbn,3913,1,0
2025-12-01T12:41:41.538414,bbbbbbn,3913,1,0
2025-12-01T12:41:41.703067,bbbbbbn,3913,1,0
2025-12-01T12:41:41.887389,bbbbbbn,3913,1,0
2025-12-01T12:41:42.065116,bbbbbbn,3913,1,0
2025-12-01T12:41:42.257744,bbbbbbn,3913,1,0
2025-12-01T12:41:42.434739,bbbbbbn,3913,1,0
2025-12-01T12:41:42.654075,bbbbbbn,3913,1,0
2025-12-01T12:41:42.814713,bbbbbbn,3913,1,0
2025-12-01T12:41:42.993550,bbbbbbn,3913,1,0
2025-12-01T12:41:43.239619,bbbbbbn,3913,1,0
2025-12-01T12:41:43.417721,bbbbbbn,3913,1,0
2025-12-01T12:41:44.666841,bbbbbbn,3913,1,0
2025-12-01T12:41:44.967285,bbbbbbn,3913,1,0
2025-12-01T12:41:47.892269,bbbbbbn,3913,1,0
2025-12-01T12:41:53.933233,bbbbbbn,360,0,0
2025-12-01T12:41:59.908880,bbbbbbn,2793,1,0
2025-12-01T12:42:09.242230,bbbbbbn,3078,0,0
2025-12-01T12:42:18.860885,bbbbbbn,4379,0,0
